[2026-07-10 18:33:35 DP1 TP1] Decode batch, #running-req: 64, #full token: 114944, full token usage: 0.04, #swa token: 82176, swa token usage: 0.32, accept len: 4.15, accept rate: 0.63, cap len: 4.28, cuda graph: True, gen throughput (token/s): 3271.90, #queue-req: 0, fwd occupancy: 97.34%
[2026-07-10 18:33:35 DP3 TP3] Decode batch, #running-req: 64, #full token: 114688, full token usage: 0.04, #swa token: 81920, swa token usage: 0.32, accept len: 4.25, accept rate: 0.65, cap len: 4.39, cuda graph: True, gen throughput (token/s): 3349.81, #queue-req: 0, fwd occupancy: 97.37%
[2026-07-10 18:33:35 DP2 TP2] Decode batch, #running-req: 64, #full token: 114688, full token usage: 0.04, #swa token: 81920, swa token usage: 0.32, accept len: 4.29, accept rate: 0.66, cap len: 4.43, cuda graph: True, gen throughput (token/s): 3377.18, #queue-req: 0, fwd occupancy: 97.36%
[2026-07-10 18:33:35 DP0 TP0] Decode batch, #running-req: 64, #full token: 114688, full token usage: 0.04, #swa token: 81920, swa token usage: 0.32, accept len: 4.27, accept rate: 0.65, cap len: 4.39, cuda graph: True, gen throughput (token/s): 3361.78, #queue-req: 0, fwd occupancy: 97.38%
[2026-07-10 18:33:39 DP2 TP2] Decode batch, #running-req: 64, #full token: 130816, full token usage: 0.05, #swa token: 98048, swa token usage: 0.38, accept len: 4.05, accept rate: 0.61, cap len: 4.20, cuda graph: True, gen throughput (token/s): 3259.58, #queue-req: 0, fwd occupancy: 97.30%
[2026-07-10 18:33:39 DP1 TP1] Decode batch, #running-req: 64, #full token: 130560, full token usage: 0.05, #swa token: 97792, swa token usage: 0.38, accept len: 4.07, accept rate: 0.61, cap len: 4.24, cuda graph: True, gen throughput (token/s): 3275.26, #queue-req: 0, fwd occupancy: 97.28%
[2026-07-10 18:33:39 DP0 TP0] Decode batch, #running-req: 64, #full token: 131072, full token usage: 0.05, #swa token: 98304, swa token usage: 0.38, accept len: 4.09, accept rate: 0.62, cap len: 4.24, cuda graph: True, gen throughput (token/s): 3286.91, #queue-req: 0, fwd occupancy: 97.31%
[2026-07-10 18:33:39 DP3 TP3] Decode batch, #running-req: 64, #full token: 130560, full token usage: 0.05, #swa token: 97792, swa token usage: 0.38, accept len: 4.11, accept rate: 0.62, cap len: 4.28, cuda graph: True, gen throughput (token/s): 3306.36, #queue-req: 0, fwd occupancy: 97.30%
[2026-07-10 18:33:42 DP1 TP1] Decode batch, #running-req: 64, #full token: 135936, full token usage: 0.05, #swa token: 103168, swa token usage: 0.40, accept len: 3.53, accept rate: 0.51, cap len: 3.75, cuda graph: True, gen throughput (token/s): 3050.61, #queue-req: 0, fwd occupancy: 97.02%
[2026-07-10 18:33:42 DP0 TP0] Decode batch, #running-req: 64, #full token: 137472, full token usage: 0.05, #swa token: 104704, swa token usage: 0.40, accept len: 3.58, accept rate: 0.52, cap len: 3.83, cuda graph: True, gen throughput (token/s): 3090.39, #queue-req: 0, fwd occupancy: 97.02%
[2026-07-10 18:33:42 DP3 TP3] Decode batch, #running-req: 64, #full token: 137216, full token usage: 0.05, #swa token: 104448, swa token usage: 0.40, accept len: 3.55, accept rate: 0.51, cap len: 3.79, cuda graph: True, gen throughput (token/s): 3068.78, #queue-req: 0, fwd occupancy: 97.00%
[2026-07-10 18:33:42 DP2 TP2] Decode batch, #running-req: 64, #full token: 136448, full token usage: 0.05, #swa token: 103680, swa token usage: 0.40, accept len: 3.60, accept rate: 0.52, cap len: 3.81, cuda graph: True, gen throughput (token/s): 3104.16, #queue-req: 0, fwd occupancy: 97.00%
[2026-07-10 18:33:44 DP3 TP3] Decode batch, #running-req: 9, #full token: 20736, full token usage: 0.01, #swa token: 16128, swa token usage: 0.06, accept len: 4.03, accept rate: 0.61, cap len: 4.32, cuda graph: True, gen throughput (token/s): 2664.83, #queue-req: 0, fwd occupancy: 97.41%
[2026-07-10 18:33:44 DP0 TP0] Decode batch, #running-req: 9, #full token: 13824, full token usage: 0.01, #swa token: 10752, swa token usage: 0.04, accept len: 4.10, accept rate: 0.62, cap len: 4.40, cuda graph: True, gen throughput (token/s): 2638.54, #queue-req: 0, fwd occupancy: 97.38%
[2026-07-10 18:33:44 DP1 TP1] Decode batch, #running-req: 11, #full token: 22784, full token usage: 0.01, #swa token: 17664, swa token usage: 0.07, accept len: 3.95, accept rate: 0.59, cap len: 4.23, cuda graph: True, gen throughput (token/s): 2777.94, #queue-req: 0, fwd occupancy: 97.28%
[2026-07-10 18:33:44 DP2 TP2] Decode batch, #running-req: 8, #full token: 11520, full token usage: 0.00, #swa token: 8960, swa token usage: 0.03, accept len: 4.12, accept rate: 0.62, cap len: 4.44, cuda graph: True, gen throughput (token/s): 2703.37, #queue-req: 0, fwd occupancy: 97.38%
